"length_min","length_max","gravy_min","gravy_max","n_valid_total","n_invalid_total","detection_rate_valid","detection_rate_invalid","enrichment"
9,25,-1.2,0.3,16593,44613,0.599293998973401,0.212540573469615,0.386753425503786
9,25,-1,1,18103,43103,0.587262456936265,0.200908913402928,0.386353543533337
10,30,-1.5,0.3,18818,42388,0.586254273653085,0.200064711324717,0.386189562328368
9,30,-1.2,0.3,18656,42550,0.586122837186567,0.200132331053052,0.385990506133514
6,40,-1.5,0.6,31466,29740,0.503623172188464,0.117719273614614,0.38590389857385
10,25,-1.5,0.3,16684,44522,0.598686892068136,0.212797690383238,0.385889201684898
10,20,-1.5,0.5,14501,46705,0.611267140724554,0.225428110512743,0.385839030211811
8,40,-1.2,0.5,24487,36719,0.548070583590392,0.162277193528215,0.385793390062176
9,20,-1,1,14691,46515,0.608816455792849,0.223053672459345,0.385762783333503
10,20,-1.5,0.4,14050,47156,0.613717041911485,0.228484368866843,0.385232673044642
8,25,-1,0.6,18205,43001,0.586384864677288,0.201182006217644,0.385202858459643
10,35,-1.5,0.8,23530,37676,0.55446986328412,0.169286011021591,0.385183852262529
9,40,-1.5,0.3,23052,38154,0.558884914351511,0.173839348941468,0.385045565410043
7,20,-1.2,0.6,18450,42756,0.583938664042278,0.199101444898678,0.3848372191436
9,35,-1.2,0.6,22598,38608,0.55899378029294,0.174249229803323,0.384744550489617
6,25,-1.5,0.8,27180,34026,0.530461236507316,0.145782824588341,0.384678411918975
9,35,-1.2,0.5,21900,39306,0.564653467475207,0.180040147027483,0.384613320447725
6,30,-1.2,1,27680,33526,0.524797454515924,0.140265816526012,0.384531637989912
9,25,-1,0.8,17592,43614,0.589496503648926,0.205205751931936,0.38429075171699
8,35,-1.2,0.3,21616,39590,0.565485265358709,0.18131224900863,0.384173016350079
6,35,-1.2,1,29529,31677,0.511722926620286,0.127905036968863,0.383817889651423
8,30,-1,0.6,20440,40766,0.57074250479673,0.187415995142204,0.383326509654526
8,20,-1.2,0.3,15063,46143,0.605236454054898,0.221957286935916,0.383279167118981
